snapped_latitude,snapped_longitude,average_label
32.7336556,-97.113235,1.0
32.7332194,-97.113245,1.0
32.7332194,-97.113245,2.0
32.7329928,-97.1132465,1.0
32.7329928,-97.1132465,1.0
32.7325922,-97.1132493,2.0
32.7325922,-97.1132493,2.0
32.7321161,-97.1132527,1.0
32.7321161,-97.1132527,1.0
32.7320597,-97.113253,3.0
32.7319043,-97.1133151,2.0
32.7316568,-97.1132545,1.0
32.7315715,-97.113254,3.0
32.7315715,-97.113254,2.0
32.7313641,-97.1132529,1.0
32.7311447,-97.1132517,2.0
32.7311447,-97.1132517,2.0
32.7306034,-97.1133162,2.0
32.7306034,-97.1133162,1.0
32.7306034,-97.1133162,2.0
32.730302,-97.1133156,2.0
32.7301598,-97.1133153,3.0
32.7301598,-97.1133153,3.0
32.7298259,-97.1133147,3.0
32.729695,-97.1133147,3.0
32.729695,-97.1133147,3.0
32.729695,-97.1133147,2.0
32.729695,-97.1133147,3.0
32.729695,-97.1133147,2.0
32.7292144,-97.1126015,3.0
32.7292144,-97.1126015,2.0
32.7292144,-97.1126015,2.0
32.7292144,-97.1126015,2.0
32.7292144,-97.112264,3.0
32.7292144,-97.112264,3.0
32.7292144,-97.1122102,3.0
32.7292144,-97.1122102,3.0
32.7293589,-97.1120904,1.0
32.7293589,-97.1120904,1.0
32.7293465,-97.1111817,1.0
32.72916,-97.1111251,1.0
32.72916,-97.1111251,1.0
32.7291576,-97.1110497,2.0
32.7291993,-97.1110474,3.0
32.7290341,-97.1106717,3.0
32.7290341,-97.1106717,2.0
32.7290311,-97.1104801,1.0
32.729028,-97.110277,1.0
32.7291803,-97.1099826,2.0
32.7291803,-97.1099826,3.0
32.7291803,-97.1099826,3.0
32.7292427,-97.1099281,3.0
32.7292427,-97.1099281,1.0
32.7296453,-97.1099251,2.0
32.7298555,-97.1099647,2.0
32.7300221,-97.1099211,2.0
32.730151,-97.1099194,3.0
32.7301506,-97.1098969,3.0
32.7308435,-97.1098869,2.0
32.7308435,-97.1098869,2.0
32.7308435,-97.1098869,1.0
32.7311132,-97.1098834,1.0
32.7311132,-97.1098834,2.0
32.7311132,-97.1098834,3.0
32.7311247,-97.1110187,2.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,2.0
32.7311334,-97.1118602,2.0
32.7311334,-97.1118602,2.0
32.7311334,-97.1118602,1.0
32.7311366,-97.1121802,1.0
32.7311366,-97.1121802,1.0
32.731139,-97.1124133,2.0
32.731139,-97.1124133,3.0
32.731139,-97.1124133,3.0
32.7311447,-97.1132517,3.0
32.7311447,-97.1132517,3.0
32.7311447,-97.1132517,2.0
32.7311481,-97.1133174,2.0
32.7306034,-97.1133162,2.0
32.7306034,-97.1133162,1.0
32.7306034,-97.1133162,2.0
32.730302,-97.1133156,2.0
32.730302,-97.1133156,1.0
32.7301598,-97.1133153,3.0
32.7301598,-97.1133153,3.0
32.7298259,-97.1133147,2.0
32.7298846,-97.113736,3.0
32.7298846,-97.113736,3.0
32.7298846,-97.113736,3.0
32.7301282,-97.1137358,2.0
32.7303087,-97.1137343,1.0
32.730302,-97.1133156,2.0
32.730302,-97.1133156,2.0
32.7306034,-97.1133162,1.0
32.7306034,-97.1133162,2.0
32.7306034,-97.1133162,2.0
32.7311447,-97.1132517,3.0
32.7311447,-97.1132517,3.0
32.7311447,-97.1132517,2.0
32.7313641,-97.1132529,1.0
32.7313641,-97.1132529,2.0
32.7316568,-97.1132545,2.0
32.7316568,-97.1132545,2.0
32.7319043,-97.1133151,1.0
32.7320597,-97.113253,1.0
32.7321161,-97.1132527,1.0
32.7321161,-97.1132527,1.0
32.7321161,-97.1132527,2.0
