snapped_latitude,snapped_longitude,average_label
32.7332194,-97.113245,1.0
32.7329928,-97.1132465,1.0
32.7327763,-97.1129724,1.0
32.7325922,-97.1132493,1.0
32.7325922,-97.1132493,2.0
32.7321161,-97.1132527,1.0
32.7320597,-97.113253,2.0
32.7319194,-97.1135951,2.0
32.7319194,-97.1135951,3.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,3.0
32.7319243,-97.1143179,3.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,3.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,2.0
32.7330136,-97.1132464,2.0
32.7329928,-97.1132465,2.0
32.7325922,-97.1132493,1.0
32.7325922,-97.1132493,2.0
32.7325922,-97.1132493,2.0
32.7321161,-97.1132527,1.0
32.7321161,-97.1132527,2.0
32.7320597,-97.113253,1.0
32.7321037,-97.112216,1.0
32.7321037,-97.112216,1.0
32.7322469,-97.1121541,1.0
32.7323587,-97.1122116,1.0
32.7325858,-97.1122073,2.0
32.7325863,-97.1122917,1.0
32.7325886,-97.112653,3.0
32.7325886,-97.112653,3.0
32.7325886,-97.112653,3.0
32.7325915,-97.1131264,3.0
32.7325922,-97.1132493,2.0
32.7321161,-97.1132527,2.0
32.7321161,-97.1132527,2.0
32.7320597,-97.113253,2.0
32.7319194,-97.1135951,2.0
32.7319194,-97.1135951,2.0
32.7319194,-97.1135951,1.0
32.7319243,-97.1143179,2.0
32.7318858,-97.1143191,2.0
32.731854,-97.1144084,2.0
32.731854,-97.1144084,2.0
32.7311653,-97.1143383,1.0
32.7311653,-97.1143383,1.0
32.7311653,-97.1143383,1.0
32.7310313,-97.1143881,1.0
32.7308255,-97.1143474,2.0
32.7306621,-97.1144153,1.0
32.7305186,-97.1143715,2.0
32.7303168,-97.1142914,1.0
32.7301395,-97.114356,2.0
32.7301395,-97.114356,3.0
32.7304037,-97.1142922,3.0
32.7305186,-97.1143715,3.0
32.730663,-97.1144786,3.0
32.730663,-97.1144786,2.0
32.730663,-97.1144786,2.0
32.730663,-97.1144786,2.0
32.730663,-97.1144786,2.0
32.730663,-97.1144786,3.0
32.7306679,-97.1156088,3.0
32.7306679,-97.1156088,3.0
32.7306679,-97.1156088,1.0
32.7306687,-97.1156975,1.0
32.7306668,-97.1158631,1.0
32.7306668,-97.1158631,1.0
32.7305959,-97.1163324,2.0
32.7305959,-97.1163324,2.0
32.7301751,-97.1164102,2.0
32.7301751,-97.1164102,2.0
32.7301751,-97.1164102,2.0
32.7298462,-97.1162593,1.0
32.7296009,-97.1162623,1.0
32.7293212,-97.1162211,2.0
32.7293212,-97.1162211,1.0
32.7293212,-97.1162211,1.0
32.7296009,-97.1162623,1.0
32.7298462,-97.1162593,2.0
32.7298462,-97.1162593,2.0
32.7301751,-97.1164102,2.0
32.7301751,-97.1164102,3.0
32.7301751,-97.1164102,3.0
32.7301751,-97.1164102,2.0
32.7305959,-97.1163324,2.0
32.7305959,-97.1163324,3.0
32.7306668,-97.1158631,2.0
32.7306668,-97.1158631,3.0
32.7306687,-97.1156975,2.0
32.7306679,-97.1156088,3.0
32.7306679,-97.1156088,3.0
32.7306679,-97.1156088,3.0
32.730888,-97.1156045,3.0
32.730663,-97.1144786,3.0
32.730663,-97.1144786,3.0
32.730663,-97.1144786,3.0
32.730663,-97.1144786,3.0
32.730663,-97.1144786,3.0
32.730663,-97.1144786,2.0
32.730663,-97.1144786,2.0
32.7305186,-97.1143715,1.0
32.7301395,-97.114356,1.0
32.7301395,-97.114356,2.0
32.7303168,-97.1142914,1.0
32.7305186,-97.1143715,1.0
32.7305186,-97.1143715,1.0
32.7308255,-97.1143474,1.0
32.7308255,-97.1143474,2.0
32.7310313,-97.1143881,2.0
32.7311653,-97.1143383,2.0
32.7311653,-97.1143383,1.0
