snapped_latitude,snapped_longitude,average_label
32.7332194,-97.113245,1.0
32.7332194,-97.113245,1.0
32.7336556,-97.113235,1.0
32.7339006,-97.1134097,1.0
32.7336651,-97.113971,1.0
32.7337644,-97.1141514,1.0
32.7336187,-97.1143246,1.0
32.7336187,-97.1143246,1.0
32.7336187,-97.1143246,1.0
32.7336187,-97.1143246,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.733653,-97.1144095,1.0
32.7336522,-97.1145563,1.0
32.7336513,-97.1147146,1.0
32.7336011,-97.1147756,1.0
32.7337863,-97.1150519,2.0
32.7337863,-97.1150519,2.0
32.7336993,-97.1157504,2.0
32.7337595,-97.1159376,3.0
32.7340317,-97.1162371,3.0
32.734092,-97.1164347,3.0
32.734271,-97.1168141,3.0
32.734271,-97.1168141,3.0
32.7342848,-97.1175626,1.0
32.7341951,-97.1176659,1.0
32.7342937,-97.1182212,1.0
32.7342937,-97.1182212,1.0
32.7342937,-97.1182212,1.0
32.7342179,-97.1190814,2.0
32.7342179,-97.1190814,2.0
32.7342277,-97.1196755,2.0
32.7342277,-97.1196755,3.0
32.7343171,-97.1200229,3.0
32.7342397,-97.1203365,2.0
32.7342401,-97.1204438,2.0
32.7342401,-97.1204438,1.0
32.7343334,-97.1212141,3.0
32.7343334,-97.1212141,3.0
32.7343334,-97.1212141,3.0
32.7342596,-97.121649,1.0
32.7342596,-97.121649,1.0
32.7341011,-97.1216513,1.0
32.7341011,-97.1216513,1.0
32.7341011,-97.1216513,1.0
32.7342596,-97.121649,1.0
32.7342596,-97.121649,1.0
32.7343334,-97.1212141,2.0
32.7343334,-97.1212141,2.0
32.7342401,-97.1204438,2.0
32.7342401,-97.1204438,3.0
32.7343171,-97.1200229,2.0
32.7342277,-97.1196755,2.0
32.7342277,-97.1196755,2.0
32.7342179,-97.1190814,2.0
32.7342179,-97.1190814,2.0
32.7342179,-97.1190814,2.0
32.7344964,-97.1188863,2.0
32.7342937,-97.1182212,2.0
32.7342937,-97.1182212,2.0
32.7342937,-97.1182212,1.0
32.7342937,-97.1182212,1.0
32.7341951,-97.1176659,1.0
32.7341951,-97.1176659,1.0
32.7338681,-97.1176775,1.0
32.7336838,-97.1179645,1.0
32.7333886,-97.1176854,1.0
32.7330627,-97.1176861,1.0
32.7330627,-97.1176861,1.0
32.7330627,-97.1176861,1.0
32.7330627,-97.1176861,1.0
32.7330532,-97.1164728,3.0
32.7330532,-97.1164728,3.0
32.7330532,-97.1164728,3.0
32.7330532,-97.1164728,3.0
32.7335348,-97.1164884,1.0
32.7335348,-97.1164884,3.0
32.7335348,-97.1164884,3.0
32.7340579,-97.1163145,3.0
32.734092,-97.1164347,3.0
32.734092,-97.1164347,3.0
32.734092,-97.1164347,1.0
32.7340317,-97.1162371,1.0
32.7337595,-97.1159376,1.0
32.7336993,-97.1157504,1.0
32.7336993,-97.1157504,1.0
32.7337863,-97.1150519,1.0
32.7337863,-97.1150519,1.0
32.7336191,-97.1147538,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,1.0
32.7336513,-97.1147146,2.0
32.733653,-97.1144095,2.0
32.7336187,-97.1143246,3.0
32.7336651,-97.113971,3.0
32.7336651,-97.113971,3.0
