snapped_latitude,snapped_longitude,average_label
32.7336556,-97.113235,1.0
32.7336556,-97.113235,1.0
32.733724,-97.11291,1.0
32.733724,-97.11291,1.0
32.7336078,-97.1122161,1.0
32.7336155,-97.1120609,1.0
32.7335633,-97.1115449,1.0
32.733708,-97.1113779,1.0
32.7336196,-97.1108659,1.0
32.7336114,-97.1105306,1.0
32.7336208,-97.1102525,1.0
32.7336326,-97.1097609,1.0
32.7336394,-97.1096699,1.0
32.7337402,-97.1091912,1.0
32.7337415,-97.1089876,1.0
32.7337439,-97.1086336,1.0
32.7337439,-97.1086336,1.0
32.7337495,-97.1076675,2.0
32.7337495,-97.1076675,2.0
32.7336306,-97.1076647,2.0
32.7336617,-97.1072043,2.0
32.7337481,-97.1071129,2.0
32.7337386,-97.1063784,2.0
32.7337386,-97.1063784,2.0
32.7337186,-97.1060552,2.0
32.7336005,-97.1059612,2.0
32.7333877,-97.1059688,2.0
32.7333083,-97.1059717,2.0
32.7330978,-97.1059793,2.0
32.732943,-97.105984,2.0
32.732943,-97.105984,2.0
32.733086,-97.1053297,2.0
32.7329237,-97.1049666,2.0
32.73292,-97.104774,2.0
32.73292,-97.104774,1.0
32.732892,-97.104019,1.0
32.732892,-97.104019,1.0
32.7328749,-97.1035602,1.0
32.7328749,-97.1035602,1.0
32.7328492,-97.1028815,1.0
32.7328492,-97.1028815,1.0
32.7328492,-97.1028815,2.0
32.7319463,-97.102901,3.0
32.7319463,-97.102901,3.0
32.7319463,-97.102901,3.0
32.7314308,-97.1029122,3.0
32.7314308,-97.1029122,3.0
32.731161,-97.102918,3.0
32.7310092,-97.1029225,2.0
32.7310092,-97.1029225,1.0
32.730221,-97.102946,1.0
32.7301381,-97.1029482,1.0
32.7301381,-97.1029482,1.0
32.7294674,-97.1029662,1.0
32.7293455,-97.1029694,1.0
32.7291748,-97.1029724,1.0
32.7288006,-97.1029771,2.0
32.7287061,-97.1029783,1.0
32.72833,-97.102983,1.0
32.72833,-97.102983,2.0
32.7287153,-97.1034476,2.0
32.7283396,-97.1042438,3.0
32.7283396,-97.1042438,3.0
32.7283396,-97.1042438,3.0
32.7283416,-97.1045081,2.0
32.7283434,-97.1047388,1.0
32.7283434,-97.1047388,1.0
32.7283434,-97.1047388,2.0
32.7283454,-97.1052633,2.0
32.7283454,-97.1052633,2.0
32.728347,-97.1056921,1.0
32.7283483,-97.1060174,1.0
32.7283485,-97.1060756,1.0
32.72835,-97.106478,2.0
32.72835,-97.106478,2.0
32.7283982,-97.1073486,1.0
32.7283982,-97.1073486,2.0
32.7283091,-97.107577,2.0
32.7281072,-97.1076677,3.0
32.7280673,-97.1080761,3.0
32.7279958,-97.10823,3.0
32.7279333,-97.1084066,3.0
32.7276148,-97.1087162,2.0
32.727573,-97.108806,1.0
32.7275266,-97.1089157,1.0
32.7275444,-97.1094261,1.0
32.7275444,-97.1094261,1.0
32.727193,-97.109957,1.0
32.727193,-97.109957,1.0
32.7273038,-97.1103053,1.0
32.7272458,-97.1106963,2.0
32.7272458,-97.1106963,2.0
32.727023,-97.1110753,1.0
32.727023,-97.1110753,2.0
32.7272458,-97.1106963,3.0
32.7280307,-97.1110556,3.0
32.7280307,-97.1110556,3.0
32.7280307,-97.1110556,3.0
32.7280307,-97.1110556,3.0
32.7283632,-97.1110624,3.0
32.7284462,-97.1110612,3.0
32.7284462,-97.1110612,3.0
32.7291576,-97.1110497,3.0
32.7291576,-97.1110497,3.0
32.7291993,-97.1110474,3.0
32.7293473,-97.1110444,3.0
32.7295402,-97.1110437,3.0
32.7295402,-97.1110437,1.0
32.7300821,-97.1109845,1.0
32.7301605,-97.1109468,1.0
32.7302254,-97.1109156,2.0
32.7305887,-97.1110336,2.0
32.7306982,-97.1110305,2.0
32.7311247,-97.1110187,2.0
32.7311247,-97.1110187,2.0
