snapped_latitude,snapped_longitude,average_label
32.7329928,-97.1132465,1.0
32.7329928,-97.1132465,1.0
32.7329928,-97.1132465,1.0
32.7332194,-97.113245,1.0
32.7336556,-97.113235,1.0
32.7336651,-97.113971,1.0
32.7336651,-97.113971,1.0
32.7336187,-97.1143246,1.0
32.7336187,-97.1143246,1.0
32.7334357,-97.1145523,1.0
32.7334357,-97.1145523,1.0
32.7325242,-97.1145615,2.0
32.7325158,-97.1143065,2.0
32.7319243,-97.1143179,2.0
32.731854,-97.1144084,2.0
32.7311653,-97.1143383,3.0
32.7310313,-97.1143881,3.0
32.730663,-97.1144786,3.0
32.7303168,-97.1142914,3.0
32.7298394,-97.114357,3.0
32.729704,-97.1143574,3.0
32.7293008,-97.1144677,3.0
32.7293008,-97.1144677,2.0
32.728508,-97.1144414,2.0
32.728508,-97.1144414,1.0
32.7284049,-97.1144373,1.0
32.7284049,-97.1144373,1.0
32.7284518,-97.1140564,1.0
32.7284518,-97.1140564,1.0
32.728396,-97.1132806,1.0
32.728396,-97.1132806,1.0
32.7284518,-97.1140564,1.0
32.7284518,-97.1140564,1.0
32.728321,-97.1144468,1.0
32.728321,-97.1144468,1.0
32.7280019,-97.1146007,1.0
32.7278568,-97.1144071,1.0
32.7278568,-97.1144071,1.0
32.7274646,-97.1143246,1.0
32.7274646,-97.1143246,1.0
32.7272434,-97.1140697,1.0
32.7272434,-97.1140697,1.0
32.7272434,-97.1140697,1.0
32.7274646,-97.1143246,1.0
32.7278568,-97.1144071,2.0
32.7278568,-97.1144071,2.0
32.728321,-97.1144468,2.0
32.728321,-97.1144468,1.0
32.728508,-97.1144414,3.0
32.728508,-97.1144414,3.0
32.7288893,-97.1140456,3.0
32.7293008,-97.1144677,3.0
32.7293008,-97.1144677,2.0
32.7293008,-97.1144677,2.0
32.7294942,-97.1143581,2.0
32.729704,-97.1143574,2.0
32.7298394,-97.114357,2.0
32.7301395,-97.114356,2.0
32.7305186,-97.1143715,2.0
32.730663,-97.1144786,3.0
32.7310313,-97.1143881,3.0
32.7311653,-97.1143383,3.0
32.7311653,-97.1143383,3.0
32.7311653,-97.1143383,3.0
32.731854,-97.1144084,3.0
32.731854,-97.1144084,2.0
32.7318853,-97.1143652,2.0
32.7319243,-97.1143179,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,1.0
32.7325158,-97.1143065,1.0
32.7334357,-97.1145523,1.0
32.7334357,-97.1145523,2.0
32.7336187,-97.1143246,2.0
32.7336187,-97.1143246,2.0
32.7336651,-97.113971,2.0
32.7336651,-97.113971,2.0
32.7339006,-97.1134097,1.0
32.7336556,-97.113235,1.0
32.7336556,-97.113235,1.0
32.733724,-97.11291,1.0
32.733724,-97.11291,1.0
32.7336078,-97.1122161,3.0
32.7336078,-97.1122161,2.0
32.7336078,-97.1122161,1.0
32.7336078,-97.1122161,1.0
32.7331411,-97.1126685,2.0
32.7326018,-97.1121531,1.0
32.7325863,-97.1122917,1.0
32.7325858,-97.1122073,1.0
32.7323587,-97.1122116,1.0
32.7321037,-97.112216,3.0
32.7321037,-97.112216,1.0
32.7321037,-97.112216,1.0
32.7321161,-97.1132527,2.0
32.7321161,-97.1132527,2.0
32.7320597,-97.113253,2.0
32.7319175,-97.1133151,1.0
32.7319175,-97.1133151,1.0
32.7319194,-97.1135951,2.0
32.7316849,-97.1135967,2.0
32.7315734,-97.1135989,2.0
32.7315734,-97.1135989,3.0
32.7316849,-97.1135967,3.0
32.7319043,-97.1133151,1.0
32.7319194,-97.1135951,1.0
32.7319194,-97.1135951,1.0
32.7319194,-97.1135951,1.0
32.7319243,-97.1143179,1.0
32.7316538,-97.1138227,2.0
32.7319194,-97.1135951,3.0
32.7319194,-97.1135951,3.0
32.7319194,-97.1135951,3.0
