snapped_latitude,snapped_longitude,average_label
32.7332194,-97.113245,1.0
32.7332194,-97.113245,1.0
32.7336556,-97.113235,2.0
32.7336556,-97.113235,2.0
32.733724,-97.11291,1.0
32.733724,-97.11291,1.0
32.7336078,-97.1122161,1.0
32.7336078,-97.1122161,2.0
32.7336078,-97.1122161,2.0
32.7336078,-97.1122161,2.0
32.7331411,-97.1126685,1.0
32.7331411,-97.1126685,1.0
32.7326018,-97.1121531,2.0
32.7325863,-97.1122917,2.0
32.7325858,-97.1122073,3.0
32.7323587,-97.1122116,3.0
32.7322469,-97.1121541,3.0
32.7321037,-97.112216,2.0
32.7321037,-97.112216,3.0
32.7321037,-97.112216,3.0
32.7321161,-97.1132527,2.0
32.7321161,-97.1132527,3.0
32.7320597,-97.113253,3.0
32.7319175,-97.1133151,3.0
32.7319194,-97.1135951,3.0
32.7319194,-97.1135951,2.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,3.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,1.0
32.7324692,-97.114193,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,3.0
32.7334357,-97.1145523,2.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,2.0
32.7324692,-97.114193,2.0
32.7325158,-97.1143065,1.0
32.7325158,-97.1143065,1.0
32.7325158,-97.1143065,1.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,3.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,3.0
32.7334368,-97.1140117,3.0
32.7334368,-97.1140117,3.0
32.7334368,-97.1140117,3.0
32.7334368,-97.1140117,3.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,3.0
32.7324692,-97.114193,3.0
32.7324692,-97.114193,2.0
32.7319243,-97.1143179,2.0
32.7318853,-97.1143652,2.0
32.731854,-97.1144084,2.0
32.731854,-97.1144084,2.0
32.7311653,-97.1143383,2.0
32.7311653,-97.1143383,2.0
32.7311653,-97.1143383,1.0
32.7311653,-97.1143383,2.0
32.7311653,-97.1143383,3.0
32.731854,-97.1144084,2.0
32.731854,-97.1144084,1.0
32.7318853,-97.1143652,1.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,3.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,1.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7334357,-97.1145523,3.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,1.0
32.7324692,-97.114193,1.0
32.7319243,-97.1143179,1.0
32.7319243,-97.1143179,1.0
32.7319243,-97.1143179,1.0
32.7319194,-97.1135951,2.0
32.7319194,-97.1135951,1.0
32.7319194,-97.1135951,2.0
32.7321161,-97.1132527,2.0
32.7321161,-97.1132527,2.0
32.7321161,-97.1132527,3.0
32.7320597,-97.113253,3.0
32.7319194,-97.1135951,3.0
32.7319194,-97.1135951,2.0
32.7319194,-97.1135951,2.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,1.0
32.7324692,-97.114193,2.0
32.7324692,-97.114193,3.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,3.0
32.7325158,-97.1143065,3.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,3.0
32.7334368,-97.1140117,2.0
32.7334368,-97.1140117,1.0
