snapped_latitude,snapped_longitude,average_label
32.7332194,-97.113245,1.0
32.7332194,-97.113245,1.0
32.7336556,-97.113235,1.0
32.7336556,-97.113235,1.0
32.733724,-97.11291,1.0
32.733724,-97.11291,1.0
32.733724,-97.11291,1.0
32.7336078,-97.1122161,1.0
32.7336078,-97.1122161,1.0
32.733627,-97.1121336,1.0
32.7335726,-97.1119095,2.0
32.73357,-97.1117408,2.0
32.733708,-97.1113779,2.0
32.733708,-97.1113779,1.0
32.7336154,-97.1109623,1.0
32.7336196,-97.1108659,1.0
32.7336114,-97.1105306,2.0
32.7336208,-97.1102525,2.0
32.7336208,-97.1102525,2.0
32.7336326,-97.1097609,1.0
32.7336394,-97.1096699,1.0
32.7336326,-97.1097609,2.0
32.7336326,-97.1097609,2.0
32.7331349,-97.1098722,3.0
32.7330122,-97.1098741,3.0
32.732912,-97.1099206,3.0
32.7325642,-97.1099256,2.0
32.7324473,-97.1098828,1.0
32.7324473,-97.1098828,1.0
32.7321259,-97.1099245,1.0
32.7320835,-97.1098467,1.0
32.7320835,-97.1098467,2.0
32.7320774,-97.1090245,2.0
32.7320774,-97.1090245,1.0
32.7320774,-97.1090245,1.0
32.7320748,-97.1088303,2.0
32.7319664,-97.1089189,3.0
32.7319664,-97.1089189,3.0
32.7311574,-97.10876,1.0
32.7311574,-97.10876,2.0
32.7311574,-97.10876,2.0
32.7310477,-97.1087617,3.0
32.7310477,-97.1087617,3.0
32.7301721,-97.1087727,3.0
32.7301721,-97.1087727,1.0
32.7301412,-97.1088607,1.0
32.730097,-97.1087744,2.0
32.730097,-97.1087744,1.0
32.7296781,-97.1087779,2.0
32.7296781,-97.1087779,1.0
32.7294297,-97.1090842,1.0
32.7294297,-97.1090842,1.0
32.729158,-97.10878,2.0
32.7294297,-97.1090842,2.0
32.7291693,-97.1093043,2.0
32.7291693,-97.1093043,3.0
32.7293536,-97.1094415,1.0
32.7294297,-97.1090842,1.0
32.7294297,-97.1090842,1.0
32.7294297,-97.1090842,1.0
32.7294297,-97.1090842,1.0
32.7294297,-97.1090842,1.0
32.7296781,-97.1087779,2.0
32.7296781,-97.1087779,2.0
32.7296781,-97.1087779,1.0
32.730097,-97.1087744,1.0
32.730097,-97.1087744,1.0
32.7301412,-97.1088607,2.0
32.7301721,-97.1087727,2.0
32.7301721,-97.1087727,2.0
32.7301721,-97.1087727,2.0
32.7310477,-97.1087617,1.0
32.7310477,-97.1087617,2.0
32.7311062,-97.1088444,3.0
32.7311574,-97.10876,3.0
32.7311574,-97.10876,3.0
32.7319664,-97.1089189,3.0
32.7320073,-97.1087433,2.0
32.7320748,-97.1088303,2.0
32.7321157,-97.1088275,2.0
32.7321157,-97.1088275,1.0
32.7321881,-97.1090209,1.0
32.7329617,-97.1087345,2.0
32.7329617,-97.1087345,3.0
32.7329617,-97.1087345,3.0
32.7331191,-97.1088077,1.0
32.7331191,-97.1088077,1.0
32.7331201,-97.1087332,1.0
32.7337439,-97.1086336,1.0
32.7337439,-97.1086336,2.0
32.7337415,-97.1089876,2.0
32.7337415,-97.1089876,3.0
32.7337402,-97.1091912,3.0
32.7337402,-97.1091912,1.0
32.7336394,-97.1096699,2.0
32.7336394,-97.1096699,1.0
32.7336326,-97.1097609,1.0
32.7336326,-97.1097609,2.0
32.7336208,-97.1102525,2.0
32.7336208,-97.1102525,3.0
32.7336182,-97.1103827,3.0
32.7336114,-97.1105306,3.0
32.7329218,-97.110484,2.0
32.7329218,-97.110484,1.0
32.7329218,-97.110484,2.0
32.7329218,-97.110484,2.0
32.7329218,-97.110484,2.0
32.7336114,-97.1105306,1.0
32.7336114,-97.1105306,1.0
32.7336114,-97.1105306,2.0
32.7336114,-97.1105306,1.0
32.7336196,-97.1108659,1.0
32.7336196,-97.1108659,1.0
32.7336196,-97.1108659,1.0
32.7336196,-97.1108659,1.0
