snapped_latitude,snapped_longitude,average_label
32.7330136,-97.1132464,1.0
32.7332194,-97.113245,1.0
32.7336556,-97.113235,2.0
32.7336556,-97.113235,2.0
32.7336651,-97.113971,2.0
32.7336651,-97.113971,1.0
32.7334368,-97.1140117,1.0
32.7334368,-97.1140117,1.0
32.7334368,-97.1140117,1.0
32.7334368,-97.1140117,1.0
32.7334357,-97.1145523,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7325158,-97.1143065,2.0
32.7324692,-97.114193,2.0
32.7319243,-97.1143179,2.0
32.7319243,-97.1143179,1.0
32.7319194,-97.1135951,1.0
32.7319194,-97.1135951,1.0
32.7319175,-97.1133151,1.0
32.7320597,-97.113253,2.0
32.7321161,-97.1132527,2.0
32.7321037,-97.112216,1.0
32.7321037,-97.112216,1.0
32.7321037,-97.112216,1.0
32.7322469,-97.1121541,1.0
32.7323587,-97.112154,2.0
32.7326018,-97.1121531,2.0
32.7326467,-97.1119308,2.0
32.732641,-97.1115622,1.0
32.732638,-97.1113936,1.0
32.7326032,-97.1110792,1.0
32.7329284,-97.110916,1.0
32.7329284,-97.110916,2.0
32.7329284,-97.110916,2.0
32.7336154,-97.1109623,3.0
32.7336154,-97.1109623,2.0
32.7336154,-97.1109623,3.0
32.7335585,-97.1113707,3.0
32.733708,-97.1113779,2.0
32.7335633,-97.1115449,2.0
32.73357,-97.1117408,2.0
32.7335726,-97.1119095,2.0
32.7336155,-97.1120609,2.0
32.733627,-97.1121336,2.0
32.7337134,-97.1121324,2.0
32.7337134,-97.1121324,2.0
32.7336078,-97.1122161,2.0
32.733724,-97.11291,3.0
32.733724,-97.11291,3.0
32.733724,-97.11291,3.0
32.7338791,-97.1131611,2.0
32.7338824,-97.1132249,2.0
32.7339006,-97.1134097,2.0
32.7339006,-97.1134097,2.0
32.7337581,-97.1139545,1.0
32.7337644,-97.1141514,1.0
32.7337644,-97.1141514,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337721,-97.1143923,1.0
32.7337774,-97.1145585,2.0
32.7337798,-97.11472,1.0
32.7337863,-97.1150519,1.0
32.7340257,-97.1151518,1.0
32.7341935,-97.1155391,1.0
32.7341935,-97.1155391,2.0
32.7342928,-97.1159698,2.0
32.7341269,-97.1162877,2.0
32.7341269,-97.1162877,2.0
32.7340579,-97.1163145,2.0
32.7340317,-97.1162371,2.0
32.7337595,-97.1159376,1.0
32.7336993,-97.1157504,1.0
32.7336993,-97.1157504,1.0
32.7337863,-97.1150519,1.0
32.7337863,-97.1150519,1.0
32.7337798,-97.11472,1.0
32.7337798,-97.11472,1.0
32.7337798,-97.11472,1.0
32.7337798,-97.11472,1.0
32.7337798,-97.11472,1.0
32.7337798,-97.11472,1.0
32.7336513,-97.1147146,1.0
32.733653,-97.1144095,1.0
32.7337644,-97.1141514,1.0
32.7336651,-97.113971,1.0
32.7339006,-97.1134097,1.0
32.7336556,-97.113235,1.0
32.7336556,-97.113235,2.0
32.7336556,-97.113235,2.0
32.7336556,-97.113235,1.0
32.7332194,-97.113245,1.0
32.7330136,-97.1132464,1.0
32.7329928,-97.1132465,2.0
32.7332194,-97.113245,1.0
32.7332194,-97.113245,2.0
32.7332194,-97.113245,3.0
32.7332194,-97.113245,3.0
